demand_Maa;own_price;compe_price;inc_per_capita;pro_exp;Annual_Production_Of_Mustard_Seeds
12890;65;69.22;4343.17;1170;8.1
12850;65.9;70.67;4347.59;1162.26;8.1
13180;65.4;74.77;4356.44;1164.06;8.1
13785;65.34;75;4369.71;1193.13;6.6
13880;66;75.00;4387.4;1241.55;6.6
12680;69;77.29;4409.51;1254.15;6.6
13290;69;79.06;4436.05;1149.57;6.6
13498;69.25;81.37;4467.01;1200.06;6.6
11980;74.56;84.00;4502.4;1220.4;6.6
12085;78;91.61;4542.2;1082.7;6.6
10980;84;91.11;4586.43;1092.06;6.6
10820;87;95.79;4635.08;989.37;6.6
10768;90;99.13;4688.16;978.03;6.6
11125;90;99.7;4743.18;972.09;6.6
11985;88;98.44;4800.15;1004.94;6.6
12248;89;104.62;4859.07;1081.71;8
13985;89;105.42;4919.94;1110.15;8
13580;92;104.45;4982.76;1262.25;8
13895;91;104.94;5047.52;1229.22;8
11270;94;105.95;5114.23;1257.75;8
10485;95;106;5182.89;1021.5;8
11545;91;106;5253.5;943.92;8
12465;86;105.58;5326.05;1043.46;8
12025;86;102.84;5400.55;1125.9;8
11985;85;96.84;5477;1090.08;8
12245;80;94.26;5550.97;1087.2;8
11976;80.01;94;5622.45;1105.92;8
12095;79.64;95;5691.44;1084.5;7.8
11958;78;92.72;5757.95;1096.92;7.8
11874;78.09;95;5821.98;1080.63;7.8
11850;78.14;95.25;5883.52;1069.38;7.8
11535;81.54;96.53;5942.57;1069.47;7.8
10258;81.27;98;5999.14;1039.14;7.8
11680;80.01;97.89;6053.22;932.04;7.8
10768;80;93.47;6104.82;1052.37;7.8
10457;80.81;95.3;6153.93;970.11;7.8
11527;78.98;93.76;6200.56;943.47;7.8
11615;78.76;92.06;6252.15;1043.37;7.8
11675;78.23;92;6308.7;1050.03;7.8
11600;78.25;92;6370.21;1056.51;6.3
10980;77.88;92;6436.68;1048.14;6.3
11099;77.34;94.29;6508.11;993.69;6.3
10657;78.59;95.29;6584.51;1004.22;6.3
9645;83.53;98.11;6665.86;961.38;6.3
9026;87.29;100;6752.18;869.13;6.3
8875;90.72;101.06;6843.45;814.68;6.3
9585;88.03;101.1;6939.69;801.99;6.3
10256;85.63;99.4;7040.89;868.68;6.3
10985;84.25;99.22;7147.05;925.11;6.3
10542;87.9;101.58;7244.36;991.26;6.3
12465;90.01;107.95;7332.83;956.79;6.3
13275;90;108.52;7412.45;1123.2;6.3
13786;88.89;107.76;7483.22;1202.13;6.3
13256;91.38;109.14;7545.15;1247.31;6.3
